"word","cdv.txt","cdv.txt.zip","groen.txt","groen.txt.zip","nva.txt","nva.txt.zip","openvld.txt","openvld.txt.zip","pvda.txt","pvda.txt.zip","spa.txt","spa.txt.zip","vlaamsbelang.txt","vlaamsbelang.txt.zip"
"maatregelen",37,0,133,0,35,0,20,0,34,0,67,0,4,0
"voorzien",7,0,137,0,15,0,11,0,8,0,56,0,5,0
"vlak",21,0,132,0,17,0,15,0,23,0,71,0,4,0
"ontwikkeling",17,0,132,0,21,0,7,0,15,0,66,0,0,0
"niveau",30,0,102,0,43,0,16,0,39,0,105,0,4,0
"laten",30,0,118,0,50,0,31,0,30,0,84,0,3,0
"bestaande",20,0,126,0,23,0,8,0,3,0,72,0,6,0
"per",14,0,114,0,23,0,11,0,92,0,29,0,7,0
"versterken",31,0,119,0,45,0,18,0,6,0,76,0,4,0
"één",26,0,112,0,49,0,14,0,43,0,85,0,11,0
"huidige",18,0,130,0,23,0,9,0,10,0,60,0,15,0
"toe",23,0,125,0,40,0,18,0,30,0,67,0,8,0
"heel",14,0,124,0,18,0,7,0,53,0,60,0,10,0
"wij",29,0,85,0,47,0,66,0,45,0,102,0,14,0
"vaak",17,0,100,0,22,0,11,0,19,0,103,0,8,0
"ten",35,0,104,0,38,0,10,0,29,0,92,0,6,0
"rond",14,0,128,0,14,0,9,0,8,0,50,0,5,0
"investeren",59,0,99,0,34,0,19,0,24,0,89,0,5,0
"natuur",2,0,130,0,7,0,1,0,2,0,12,0,0,0
"personen",17,0,118,0,25,0,8,0,17,0,70,0,2,0
"fiscale",33,0,122,0,14,0,14,0,39,0,56,0,8,0
"bovendien",9,0,106,0,16,0,8,0,10,0,87,0,13,0
"blijft",20,0,105,0,34,0,15,0,26,0,87,0,15,0
"sociaal",44,0,94,0,31,0,10,0,37,0,92,0,9,0
"aanpak",4,0,112,0,16,0,17,0,7,0,72,0,7,0
"systeem",15,0,116,0,14,0,22,0,25,0,67,0,10,0
"leven",19,0,73,0,17,0,23,0,37,0,110,0,4,0
"betekent",21,0,118,0,11,0,14,0,5,0,58,0,8,0
"ondersteunen",13,0,112,0,30,0,9,0,2,0,64,0,2,0
"belang",18,0,99,0,23,0,5,0,13,0,54,0,78,0
"armoede",17,0,71,0,20,0,11,0,75,0,90,0,4,0
"school",14,0,121,0,12,0,4,0,19,0,41,0,9,0
"energie",41,0,115,0,20,0,23,0,40,0,45,0,2,0
"mag",10,0,103,0,23,0,11,0,34,0,78,0,7,0
"maakt",13,0,89,0,19,0,10,0,21,0,94,0,3,0
"betere",14,0,110,0,21,0,9,0,16,0,65,0,4,0
"stimuleren",27,0,106,0,27,0,15,0,7,0,70,0,4,0
"vrouwen",2,0,63,0,6,0,6,0,107,0,31,0,1,0
"vld",0,0,0,0,2,0,119,0,1,0,0,0,0,0
"internationale",10,0,96,0,46,0,9,0,21,0,80,0,15,0
"onderzoek",10,0,106,0,30,0,7,0,34,0,65,0,1,0
"stellen",16,0,105,0,27,0,14,0,26,0,73,0,10,0
"federale",51,0,83,0,86,0,20,0,39,0,37,0,3,0
"economie",39,0,103,0,26,0,27,0,26,0,70,0,6,0
"vooral",13,0,109,0,27,0,4,0,47,0,49,0,11,0
"mee",17,0,102,0,18,0,10,0,32,0,69,0,5,0
"kwaliteit",17,0,98,0,20,0,11,0,14,0,75,0,2,0
"vooruitgang",60,0,12,0,105,0,2,0,5,0,20,0,1,0
"houden",31,0,86,0,24,0,17,0,25,0,86,0,3,0
"extra",15,0,100,0,27,0,16,0,18,0,69,0,5,0
"krijgt",9,0,103,0,24,0,8,0,18,0,62,0,2,0
"burgers",7,0,113,0,26,0,26,0,27,0,22,0,2,0
