"word","cdv.txt","groen.txt","nva.txt","openvld.txt","pvda.txt","spa.txt","vlaamsbelang.txt"
"gezinnen",54,44,21,7,33,86,5
"toekomst",49,56,12,11,31,86,5
"burgers",33,113,26,26,27,22,2
"elk",46,71,31,9,26,62,2
"belangrijk",56,103,16,4,8,55,3
"rekening",43,88,24,13,27,50,0
"unie",10,62,29,4,65,70,3
"betekent",28,118,11,14,5,58,8
"vormen",40,101,17,8,16,55,5
"krijgt",24,103,24,8,18,62,2
"wonen",44,105,22,6,6,49,7
"langer",14,85,27,16,37,55,4
"termijn",28,91,18,9,12,75,5
"kosten",32,92,12,8,37,51,5
"openbare",29,66,12,1,88,26,14
"diensten",34,62,35,5,49,50,0
"gezondheidszorg",31,54,21,8,40,75,6
"hen",22,56,27,14,28,78,7
"kansen",49,57,23,16,10,72,3
"kind",28,85,11,11,16,73,3
"begeleiding",48,88,20,3,10,56,1
"informatie",50,74,11,4,10,72,4
"overheden",43,82,14,12,10,61,1
"vrouwen",8,63,6,6,107,31,1
"kiezen",32,64,30,31,7,53,4
"initiatieven",53,89,29,5,6,38,0
"arbeidsmarkt",42,66,29,9,18,51,3
"inzake",55,58,23,13,9,51,9
"nood",34,106,10,6,7,51,2
"pensioen",14,55,15,18,63,48,2
"sterk",47,64,16,16,14,51,7
"vervoer",40,91,11,8,25,38,2
"brengen",42,77,21,5,15,53,1
"visie",21,80,61,3,32,13,4
"mobiliteit",58,48,11,6,5,83,2
"ouders",26,86,19,10,11,58,3
"zorgt",28,109,14,8,15,38,1
"toegang",31,79,6,8,13,75,0
"hoger",47,53,20,6,24,61,0
"dienstverlening",40,33,28,8,32,66,1
"twee",17,54,19,10,73,31,2
"vanuit",43,70,17,8,11,52,5
"volgens",22,82,22,2,38,34,4
"verantwoordelijkheid",42,47,48,8,7,46,5
"leerlingen",51,70,18,8,29,25,1
"bouwen",28,71,23,9,15,54,1
"net",18,70,14,16,20,54,9
"inzetten",47,62,14,10,5,60,2
"ter",27,100,20,3,11,33,5
"ervoor",15,82,13,13,19,52,3
"investeringen",49,60,23,14,20,31,0
"ouderen",13,96,5,8,26,47,1
"strijd",35,56,9,5,20,70,0
"ontwikkelen",54,82,13,4,4,36,1
"realiseren",27,90,22,12,4,37,1
"financiering",35,83,15,5,13,37,4
"immers",36,80,11,10,12,36,6
"private",26,57,24,21,28,34,1
"cultuur",39,52,27,7,4,57,4
"justitie",68,41,13,3,43,12,9
"actief",21,78,20,3,11,53,2
"garanderen",45,67,15,7,7,47,0
"naast",26,79,17,5,17,40,4
"waarin",38,66,16,9,15,42,2
"duidelijk",36,73,15,7,10,44,2
"werkt",14,56,28,16,12,60,1
"spelen",39,72,12,9,9,41,4
"overleg",81,64,8,5,3,19,4
"duurzaam",37,92,9,2,5,38,0
"zelfs",10,55,25,3,43,42,5
"verhogen",30,54,24,7,15,48,3
"wereld",36,44,13,11,19,49,9
"snel",25,63,27,3,18,39,5
"steden",33,74,7,9,13,40,4
"groene",20,93,9,2,43,9,3
"groot",29,60,10,5,23,46,5
"lidstaten",8,68,30,1,13,53,5
"opleiding",36,52,22,4,11,49,4
"daarnaast",39,69,14,5,6,43,1
"gemaakt",22,78,12,9,16,31,9
"inkomen",11,50,5,8,61,37,5
"innovatie",43,48,15,7,4,55,5
"opnieuw",14,48,22,9,27,40,17
"projecten",33,80,7,10,2,43,2
"mogen",23,57,7,4,28,53,4
"ondernemingen",32,31,37,7,24,44,1
"sectoren",28,64,19,11,14,35,5
"meest",34,62,18,2,14,41,4
"producten",16,94,5,7,18,35,0
"weinig",3,96,14,2,17,39,4
"handicap",25,62,2,5,1,79,0
"drie",26,54,13,3,47,21,9
"controle",14,62,16,2,20,48,10
"betalen",8,63,13,5,52,30,0
"problemen",19,60,9,3,34,39,7
