"word","cdv.txt","groen.txt","nva.txt","openvld.txt","pvda.txt","spa.txt","vlaamsbelang.txt"
"kernen",2,6,2,0,0,8,0
"kleinschalige",4,12,0,0,1,0,1
"leidraad",3,9,0,0,1,4,1
"mentale",1,10,1,0,2,4,0
"milieuvriendelijke",4,8,3,0,0,3,0
"mobiele",7,4,0,2,0,5,0
"mobiliteitsbudget",6,8,0,1,0,3,0
"naam",1,6,1,0,8,2,0
"naarmate",3,8,1,2,1,3,0
"navolging",1,12,2,0,1,2,0
"noorden",8,2,1,0,6,1,0
"normering",2,12,0,1,0,3,0
"oefenen",4,4,6,0,0,4,0
"ondermijnt",5,4,1,0,2,5,1
"onderwijsaanbod",13,3,0,0,0,1,1
"openheid",2,6,2,0,0,6,2
"opslag",2,8,1,3,2,2,0
"opstarten",0,7,0,1,1,8,1
"overheidssteun",1,11,2,0,0,4,0
"overuren",5,0,0,2,9,1,1
"pedagogisch",2,4,1,0,0,7,4
"pensioenstelsel",0,9,0,1,6,2,0
"recreatie",4,12,1,0,0,1,0
"regio<e2><80><99>s",18,0,0,0,0,0,0
"ring",5,6,0,0,4,1,2
"schaalvergroting",7,3,3,1,0,4,0
"scholenbouw",4,7,0,3,4,0,0
"sluitende",2,12,0,0,0,3,1
"spreiding",7,4,4,0,0,3,0
"stads",3,9,1,0,0,4,1
"standaarden",2,11,0,0,1,4,0
"strafrechtelijke",2,10,2,0,0,1,3
"streek",5,6,3,0,0,1,3
"taksen",1,2,2,0,12,1,0
"tegenstelling",1,8,1,1,1,5,1
"tenzij",0,9,2,0,1,6,0
"toekennen",4,9,0,3,0,2,0
"topsport",3,9,1,2,0,3,0
"transformatie",9,7,0,0,0,2,0
"twintig",4,4,1,1,7,1,0
"uiteindelijk",3,7,1,0,4,1,2
"verandert",6,4,0,1,4,3,0
"verantwoordelijkheden",9,4,1,0,1,3,0
"verantwoording",6,4,2,0,1,5,0
"verdragen",2,9,0,0,3,4,0
"verlengen",1,4,3,1,3,6,0
"verliest",1,2,2,0,3,9,1
"verloopt",4,9,1,0,1,3,0
"veronderstelt",9,4,2,0,1,2,0
"verzorging",3,7,0,0,2,6,0
"voet",3,9,3,0,1,2,0
"voorbereid",6,6,0,0,1,4,1
"voorleggen",1,5,0,1,9,2,0
"voorziening",4,6,1,2,1,4,0
"warme",9,2,3,0,0,4,0
"weggewerkt",1,7,2,2,1,5,0
"wegnemen",6,5,0,2,1,4,0
"welvaartsstaat",2,3,0,0,0,13,0
"woorden",1,3,0,0,4,10,0
"zieke",2,9,1,1,2,2,1
"zinvol",2,11,3,0,0,2,0
"zowat",1,3,5,0,6,1,2
"<e2><80><a6>",17,0,0,0,0,0,0
"achteruit",0,4,3,0,4,6,0
"activiteit",5,2,2,0,7,1,0
"antibiotica",0,13,0,0,2,2,0
"arbeidsmigranten",0,12,2,0,0,3,0
"bejaarden",3,5,0,1,6,2,0
"belanden",0,8,0,1,6,1,1
"beroepen",6,6,0,0,2,1,2
"beschermde",2,10,0,0,0,5,0
"bevordert",5,7,0,0,1,3,1
"bijsturen",6,6,0,1,1,3,0
"btwtarief",5,9,2,0,0,1,0
"buurten",5,7,0,0,1,4,0
"coherentie",7,7,0,1,0,2,0
"concentratie",5,4,3,0,2,3,0
"conventie",0,10,1,0,2,4,0
"daders",4,3,4,0,0,5,1
"dekken",2,5,1,0,3,6,0
"doorgevoerd",1,8,1,1,3,1,2
"doorstroom",1,8,5,0,0,3,0
"doorvoeren",4,6,1,0,3,3,0
"draaiboek",0,0,1,0,15,1,0
"emissierechten",2,11,0,0,0,4,0
"ervaren",5,4,2,0,1,5,0
"evident",2,4,3,0,1,7,0
"fondsen",6,7,0,0,1,3,0
"gebruikte",1,11,0,1,1,3,0
"gedeelte",1,5,0,3,3,4,1
"gemengde",4,8,0,0,1,4,0
"geplaatst",2,6,1,0,4,4,0
"geproduceerd",1,11,0,0,1,4,0
"gespreid",1,4,1,3,2,6,0
"groeipool",17,0,0,0,0,0,0
"haalt",2,6,0,2,3,3,1
"historisch",2,6,1,0,1,4,3
"hoeven",2,4,2,1,0,8,0
"houding",2,10,2,0,0,3,0
"ingevuld",3,4,0,1,2,6,1
"innovatief",2,4,3,0,0,8,0
"instroom",4,5,2,1,1,4,0
"journalisten",3,10,1,0,0,3,0
"kerntaken",3,5,2,2,1,2,2
"kilometer",3,13,0,0,0,1,0
"klimaatdoelstellingen",4,6,1,1,0,5,0
"leefbaar",3,4,2,2,2,3,1
"leert",3,8,2,1,1,2,0
"leuven",3,2,3,0,4,4,1
"meisjes",5,5,0,0,5,2,0
"milieubeleid",2,7,0,0,0,8,0
"natuurontwikkeling",1,13,1,0,0,2,0
"nederlandstalige",8,1,2,0,0,2,4
"omvang",5,4,1,0,1,5,1
"onroerend",5,6,4,0,0,2,0
"ontbreekt",1,7,5,0,1,2,1
"ontwikkelde",0,15,0,0,0,2,0
"oplegt",1,6,1,1,6,1,1
"opvangplaatsen",3,4,0,2,5,3,0
"opvolgen",1,9,0,1,0,6,0
"overgeheveld",2,6,2,0,1,6,0
"pak",0,11,0,1,5,0,0
"pakket",0,13,2,0,0,2,0
"parketten",3,7,0,0,0,0,7
"pensioenpijler",2,1,1,3,4,6,0
"pijlers",4,4,1,2,4,2,0
"pleegouders",2,6,1,1,0,7,0
"pleegzorg",4,6,2,0,0,5,0
"radio",0,10,1,0,0,4,2
"rapportering",5,8,0,0,0,4,0
"rem",1,5,4,1,2,4,0
"restwarmte",3,6,2,1,2,3,0
"ruime",0,7,3,0,2,3,2
"rusthuizen",0,5,1,0,9,2,0
"statuten",3,2,1,0,6,5,0
"ste",3,10,0,1,0,2,1
"stopt",3,7,2,1,1,3,0
"studiekeuze",3,5,2,1,0,6,0
"taks",0,10,0,0,3,4,0
"teams",4,4,1,1,0,7,0
"tempo",1,6,4,0,4,2,0
"tewerkstellen",0,12,1,0,2,2,0
"toegankelijker",4,8,2,0,0,3,0
"toegelaten",0,13,0,0,3,0,1
"uitgebreide",3,5,0,1,1,6,1
"uitsluitend",2,7,1,0,2,5,0
"uniforme",7,5,4,0,1,0,0
"vak",1,8,1,1,1,5,0
"vereenvoudigd",6,5,2,3,0,1,0
"vereiste",4,2,4,0,4,3,0
"vergeten",0,6,0,0,1,8,2
"verkiezingsenquete",0,0,0,0,17,0,0
"verkozen",0,10,2,0,3,2,0
"veroorzaken",3,9,1,0,2,2,0
"verregaande",0,8,3,1,0,4,1
"vierde",3,3,3,2,1,3,2
"vol",1,3,0,1,5,5,2
"volstaat",1,7,0,1,3,5,0
"voorbereiden",5,4,0,2,1,4,1
"voortouw",1,8,2,0,0,5,1
"voorzitter",1,3,2,1,5,4,1
"werkplek",8,3,4,1,0,1,0
"wind",3,7,1,2,2,2,0
"woonwijken",2,5,1,0,1,8,0
"zodra",1,11,1,1,1,1,1
"zorgaanbod",5,3,1,0,3,5,0
"zorgverlof",0,17,0,0,0,0,0
"zwarte",0,6,0,0,2,8,1
"aankopen",2,5,1,1,0,7,0
"aanvullen",1,3,2,2,1,6,1
"administratief",6,5,2,1,1,1,0
"advocaten",2,7,0,0,5,2,0
"afdwingbaar",0,4,2,0,3,6,1
"afgebouwd",1,8,0,1,5,1,0
"afgesloten",3,9,0,1,0,2,1
"allochtone",3,3,0,0,8,2,0
"anciënniteit",0,4,1,3,0,8,0
"anderstaligen",5,1,1,0,0,9,0
"arbeiders",1,4,0,0,9,2,0
"autonome",2,7,2,1,0,4,0
"beginnende",3,4,3,0,2,4,0
"belg",0,5,2,0,8,0,1
"bepleiten",2,12,0,0,0,2,0
"betrouwbare",8,3,1,1,0,3,0
"brusselaars",4,2,0,1,1,4,4
"centrumsteden",4,6,0,0,2,4,0
"community",3,11,0,0,0,2,0
"conform",3,7,3,0,0,1,2
"curriculum",2,6,1,1,1,5,0
"databank",2,11,0,1,0,2,0
"dergelijk",1,11,1,2,1,0,0
"direct",2,6,1,0,4,3,0
"dividenden",0,3,2,0,9,2,0
"domein",2,7,1,0,1,5,0
"draad",7,5,2,1,0,1,0
"emancipatie",2,8,0,2,0,4,0
"ernaar",1,4,1,1,3,6,0
"etnische",0,7,0,0,1,8,0
"filosofie",1,8,0,4,2,1,0
"franstalige",0,6,2,0,3,1,4
"fraudeurs",0,2,0,0,10,4,0
"geboorte",2,4,1,1,1,6,1
"gemotiveerd",1,5,3,3,0,3,1
"geregeld",3,8,3,0,0,2,0
"getrokken",2,4,2,0,4,4,0
"gewijzigde",4,11,0,0,0,1,0
"gezocht",3,11,0,0,1,1,0
"graag",3,9,2,0,0,1,1
"green",0,15,0,1,0,0,0
"griekenland",0,2,0,0,10,3,1
"hangt",4,3,2,0,1,5,1
"haven",4,6,1,0,2,2,1
"heroriënteren",0,11,1,0,1,3,0
"herwaardering",1,9,2,0,1,0,3
"hierop",1,4,1,0,1,9,0
"huurwoning",4,2,2,0,2,6,0
"ideeën",0,3,1,2,1,7,2
"igo",1,5,0,0,2,8,0
"inhoudelijke",4,4,4,0,0,4,0
"inkomensgarantie",1,6,0,1,2,6,0
"inschrijven",2,11,2,0,0,1,0
"integriteit",4,9,2,0,0,1,0
"intensief",2,7,1,1,0,5,0
"interesten",0,3,0,1,11,0,1
"inventaris",1,13,0,0,0,2,0
"inwoner",1,6,2,0,3,4,0
"jeugdsanctierecht",5,5,0,0,0,4,2
"kansarme",3,8,2,0,1,2,0
"kennisinstellingen",5,4,2,2,0,3,0
"kerntaak",4,5,4,2,1,0,0
"kwetsbaar",1,10,1,0,1,3,0
"kwh",3,10,2,0,1,0,0
"leefbare",0,6,1,0,0,7,2
"legitimiteit",0,2,3,0,0,11,0
"levensbeschouwelijke",1,6,0,1,2,6,0
"lezen",2,6,3,1,1,3,0
"lopende",3,7,2,0,1,3,0
"medicatie",0,15,0,1,0,0,0
"meerwaarden",0,12,0,0,1,3,0
"mening",2,5,1,0,3,5,0
"mondiale",3,6,0,0,0,6,1
"monitoren",6,4,0,0,1,5,0
"multilaterale",2,7,1,2,0,4,0
"nabij",4,8,0,0,1,3,0
"nederlandstalig",7,1,1,2,2,0,3
"nietbegeleide",3,7,0,0,1,5,0
"noordzee",0,11,0,0,1,4,0
"ogen",9,3,1,0,0,2,1
"onderlinge",5,4,5,1,0,1,0
"ondervinden",2,6,1,1,1,5,0
"ongelijke",1,4,1,1,3,6,0
"onmiddellijke",2,5,0,0,4,4,1
"onverkort",7,4,4,0,0,1,0
"opgemaakt",3,10,0,1,0,2,0
"orgaan",1,8,0,0,2,4,1
"overbodig",1,7,2,0,2,4,0
"overdreven",1,9,1,1,4,0,0
"overstappen",2,8,0,1,0,5,0
"overtuigd",5,5,2,0,0,4,0
"panden",3,11,2,0,0,0,0
"pers",5,8,0,0,0,3,0
"prioritaire",4,6,4,0,1,1,0
"proeven",2,5,2,0,0,7,0
"rechtspraak",2,6,0,0,8,0,0
"reglementering",1,13,0,1,1,0,0
"reiziger",5,8,0,0,0,3,0
"reserves",0,10,0,3,1,1,1
"roerende",1,6,0,5,3,1,0
"sensibiliseren",7,6,0,0,0,3,0
"situaties",4,7,0,0,2,3,0
"slaan",0,4,0,1,6,5,0
"spaarbanken",0,13,0,0,3,0,0
"spanje",0,0,3,0,8,4,1
"startende",7,4,0,2,0,3,0
"steunmaatregelen",5,8,0,0,0,3,0
"succesvol",1,6,2,3,3,1,0
"team",2,10,1,0,0,3,0
"techniek",5,3,4,2,2,0,0
"toegewezen",1,6,1,1,3,4,0
"toeslag",1,4,2,1,0,7,1
"toestand",0,6,0,0,5,4,1
"topprioriteit",4,6,0,1,2,3,0
"trajectbegeleiding",4,7,0,0,0,5,0
"transactietaks",1,8,0,0,0,7,0
"trouwens",0,6,2,0,0,6,2
"uiteenlopende",1,6,2,1,0,6,0
"uitgaan",6,6,1,1,0,2,0
"vanwege",1,11,1,0,0,3,0
"vaststelling",3,2,1,0,3,6,1
"verbetert",2,7,0,0,1,6,0
"verduurzamen",2,12,0,0,0,2,0
"verlof",0,10,3,0,0,3,0
"vernieuwde",6,2,1,1,1,5,0
"verscheidenheid",3,8,1,0,0,3,1
"versnellen",3,6,1,5,0,1,0
"vervroegd",1,0,3,0,10,1,1
"vervroegde",6,1,3,1,2,0,3
"voegen",1,0,8,1,1,4,1
"voorafgaand",0,10,1,0,3,2,0
"waardering",7,6,2,0,0,1,0
"wederzijds",4,2,1,3,1,5,0
"welbevinden",1,9,3,0,0,3,0
"werkelijk",2,2,1,1,3,7,0
"wildgroei",3,5,3,0,1,4,0
"woon",2,3,3,0,2,6,0
"zekere",2,7,0,0,5,2,0
"zelden",0,3,3,0,4,5,1
"ziektes",0,12,0,0,0,4,0
"zinvolle",3,6,0,0,0,7,0
"zoektocht",3,6,2,0,1,3,1
"zorgvormen",8,0,0,0,0,8,0
"aangaan",3,4,1,0,3,4,0
"aanvulling",2,6,2,0,2,2,1
"aanwerving",1,4,2,0,4,4,0
"academische",3,2,1,1,2,6,0
"alliantie",0,12,0,0,1,1,1
"alvast",0,6,1,0,1,3,4
"arme",0,6,0,0,6,3,0
"bankencrisis",1,4,0,0,8,2,0
"basiseducatie",3,8,0,0,1,3,0
"belastingparadijzen",0,3,0,0,2,10,0
"beoordeling",1,7,3,1,0,3,0
"bereik",4,5,1,0,1,4,0
"besparing",2,6,2,0,3,2,0
"betrokkene",3,5,1,0,1,4,1
"bewaken",4,5,2,0,0,4,0
"bibliotheek",1,5,2,0,1,6,0
"bijgestuurd",5,7,0,1,0,2,0
"bijhorende",2,6,1,0,0,6,0
"billijk",3,8,1,1,0,2,0
"bindend",2,8,1,0,1,3,0
"bonussen",0,4,0,1,3,7,0
"breder",2,3,1,0,2,7,0
"bruggen",4,7,0,0,0,4,0
"capaciteiten",1,4,2,0,0,8,0
"cohesie",2,4,2,1,0,5,1
"concurrentiekracht",10,2,2,1,0,0,0
"crisissen",5,3,0,0,5,2,0
"den",2,6,1,1,4,1,0
"diezelfde",3,3,0,0,4,5,0
"discussies",5,7,1,0,2,0,0
"doelen",1,11,1,0,1,1,0
"doordachte",9,4,1,0,0,1,0
"doven",1,8,2,0,0,4,0
"dwingende",1,2,0,1,3,8,0
"elektronische",5,3,2,0,0,5,0
"energiemix",2,2,6,2,0,2,1
"energiepact",11,4,0,0,0,0,0
"energiesector",0,6,0,1,6,2,0
"engageert",4,4,3,1,0,3,0
"erkent",0,7,0,1,3,4,0
"extern",0,9,2,0,0,3,1
"flanders",11,2,2,0,0,0,0
"franstaligen",2,0,9,0,1,0,3
"gasboetes",0,2,1,0,11,0,1
"geïnterneerden",0,5,1,0,0,7,2
"geaardheid",1,6,3,0,1,4,0
"geboren",2,4,4,0,1,4,0
"gelet",7,2,1,3,0,0,2
"gemeenschapsvorming",6,6,1,0,0,2,0
"gemeentefonds",4,3,4,0,4,0,0
"genezen",2,8,3,0,0,2,0
"gepensioneerde",2,6,0,1,6,0,0
"goedkoop",0,2,2,0,7,3,1
"goedkoopste",1,6,1,0,2,5,0
"grensoverschrijdend",1,9,0,0,0,5,0
"groeipad",4,5,1,1,0,4,0
"handelen",4,5,2,1,1,2,0
"herverdeling",3,6,0,0,4,2,0
"huisartsen",1,8,0,0,1,5,0
"hulpmiddelen",4,4,0,0,0,7,0
"immaterieel",1,14,0,0,0,0,0
"inbreng",5,3,0,4,0,3,0
"inleiding",0,0,0,0,4,11,0
"innovatiebeleid",5,5,1,1,0,2,1
"inzichten",4,3,3,1,1,3,0
"justitiehuizen",8,5,1,0,0,1,0
"kampen",2,7,1,0,0,4,1
"kern",1,8,0,1,0,5,0
"kijk",0,4,2,0,1,8,0
"klaar",3,3,0,3,1,3,2
"klimaatfinanciering",3,9,0,0,0,3,0
"kortom",5,2,0,0,3,4,1
"kosteloos",4,0,1,1,4,5,0
"letterlijk",0,1,0,0,1,13,0
"liberalisering",1,1,2,0,11,0,0
"lissabon",2,4,1,0,8,0,0
"logische",0,8,1,0,1,4,1
"mandaat",0,13,1,0,0,1,0
"manieren",3,3,1,2,0,6,0
"marktwerking",6,2,1,1,4,1,0
"materieel",3,2,3,0,4,1,2
"mensenhandel",3,0,0,2,0,10,0
"middellange",0,8,0,0,2,5,0
"milieuvervuiling",0,11,0,0,0,4,0
"nastreven",4,3,1,0,0,6,1
"natuurgebieden",1,9,2,0,0,3,0
"nieuwbouw",2,7,4,2,0,0,0
"objectief",3,4,2,0,3,3,0
"omgezet",3,6,1,2,1,1,1
"omwonenden",4,9,1,0,0,1,0
"omzetten",5,3,1,2,0,4,0
"onderschrijven",4,4,1,0,0,6,0
"ondervraagden",0,0,0,0,15,0,0
"onderwijskansen",4,8,0,0,0,2,1
"onderzocht",8,5,0,1,1,0,0
"onontbeerlijk",3,6,1,0,0,3,2
"opzetten",4,6,0,0,1,3,1
"organiseert",1,7,0,0,2,5,0
"parlementsleden",0,4,5,0,4,1,1
"performant",6,2,2,2,0,3,0
"platform",4,1,1,3,3,3,0
"privésector",0,4,1,3,6,1,0
"pro",4,7,0,1,0,1,2
"producties",4,5,1,0,0,4,1
"psychologische",3,6,1,0,0,5,0
"raden",1,9,1,0,0,4,0
"rapport",2,8,1,0,1,3,0
"realiseert",2,4,1,0,0,8,0
"rechters",2,6,4,1,0,2,0
"rechtstreekse",4,7,1,0,1,2,0
"rechtvaardiger",1,4,3,0,1,6,0
"reductie",1,10,1,0,0,3,0
"regulator",2,7,1,1,0,3,1
"rendabel",3,3,2,0,3,4,0
"ruimtes",7,5,1,0,0,2,0
"samengesteld",4,10,0,0,0,1,0
"saneren",1,3,4,0,2,2,3
"schadelijk",1,6,1,1,2,4,0
"schoolgebouwen",2,2,3,2,1,4,1
"schuift",3,7,1,0,3,0,1
"sluitend",2,7,2,1,0,3,0
"stage",4,0,1,1,2,7,0
"stimulans",6,4,1,0,1,3,0
"stromen",2,10,1,0,0,2,0
"taboe",2,5,0,1,2,4,1
"tafel",1,2,4,1,5,1,1
"trade",8,5,1,0,0,0,1
"treffen",1,4,0,0,6,4,0
"tussenkomst",5,3,0,0,3,4,0
"valoriseren",6,4,0,3,0,2,0
"veiliger",1,6,4,1,0,0,3
"verantwoordelijke",1,3,3,2,2,3,1
"verblijfsvergunning",1,5,4,0,3,2,0
"verdichting",1,12,2,0,0,0,0
"vergroening",0,9,2,0,1,3,0
"veroorzaakt",1,6,1,0,2,4,1
"verstandig",5,3,4,0,0,2,1
"vertaalt",2,2,4,2,1,4,0
"vertrouwde",2,6,2,1,1,3,0
"verwerking",2,6,1,0,1,3,2
"verzekeringen",1,3,1,0,2,8,0
"vlakken",2,5,2,0,1,3,2
"voedselproductie",2,9,0,0,0,4,0
"voorbereiding",3,3,3,1,1,3,1
"warmtenetten",4,8,1,0,0,2,0
"zachte",0,11,0,0,0,2,2
"zeldzame",2,8,0,0,1,4,0
"zorgde",0,2,4,0,5,4,0
"zorgtaken",1,10,0,0,1,3,0
"écht",0,7,1,1,2,1,2
"aanspreekpunt",4,0,5,0,0,4,1
"aantrekkelijke",4,2,4,2,0,2,0
"aanvaardbaar",1,7,2,1,1,2,0
"abortus",0,1,0,0,10,3,0
"adviezen",3,7,3,0,0,1,0
"afrika",5,3,1,0,1,4,0
"afsluiten",2,5,1,1,1,2,2
"ambities",3,2,2,2,2,3,0
"antwerpse",1,1,0,1,4,4,3
"arbeidszorg",1,2,0,0,0,11,0
"aso",0,3,0,4,6,1,0
"aspect",1,10,0,2,0,1,0
"baas",0,3,0,0,6,2,3
"basisrecht",1,7,0,0,2,4,0
"bedrijfsvoorheffing",1,6,0,0,1,6,0
"bedrijfswereld",0,5,0,2,1,6,0
"begeleiders",0,7,0,0,2,5,0
"beheersovereenkomsten",3,6,0,0,0,5,0
"belangrijker",2,0,2,2,3,5,0
"besteding",1,6,2,0,1,3,1
"bevatten",0,7,0,1,0,6,0
"bewegingen",9,2,1,0,2,0,0
"blootstelling",0,12,0,0,0,2,0
"bronnen",1,8,1,1,3,0,0
"budgettair",3,5,2,0,1,3,0
"burnout",0,12,0,0,1,1,0
"coherente",1,5,1,1,0,6,0
"collegas",0,4,1,1,4,4,0
"commissies",0,8,0,0,1,5,0
"compenseren",1,2,3,0,2,5,1
"competitieve",5,1,3,1,4,0,0
"concurrentiepositie",4,1,4,1,1,2,1
"contract",0,8,0,0,5,1,0
"creatief",2,3,0,1,1,7,0
"daalt",0,1,1,3,5,4,0
"daarover",1,3,0,1,6,2,1
"deed",0,5,1,0,7,1,0
"democratisering",1,6,1,1,2,3,0
"dertig",0,1,0,1,7,3,2
"deskundigheid",3,9,1,0,0,1,0
"doelgericht",5,2,2,2,1,2,0
"doelgroepwerknemers",0,14,0,0,0,0,0
"doordacht",7,2,2,0,0,3,0
"doorwegen",0,8,0,3,0,3,0
"electrabel",0,2,0,0,12,0,0
"erger",2,3,2,0,5,1,1
"ethisch",2,7,0,1,1,3,0
"evenementen",0,10,1,0,0,3,0
"fout",1,5,1,0,3,4,0
"fysiek",1,5,2,0,1,5,0
"gebonden",1,9,1,0,0,3,0
"gebrekkige",1,5,6,0,0,1,1
"gedeeld",2,6,2,0,0,2,2
"gehoord",4,5,2,0,2,0,1
"gendervariante",0,12,0,0,0,2,0
"geniet",4,5,0,1,0,4,0
"geraakt",2,3,0,0,4,3,2
"gespecialiseerd",1,5,1,0,1,6,0
"gestegen",2,3,2,0,6,1,0
"gevoel",1,4,4,0,0,5,0
"gevolge",3,8,0,0,0,2,1
"gewestelijk",5,9,0,0,0,0,0
"ging",1,2,1,0,9,0,1
"gingen",0,1,2,0,10,0,1
"groeibevorderende",14,0,0,0,0,0,0
"handelingen",2,3,0,1,1,7,0
"harde",0,5,1,0,0,5,3
"harmonisatie",2,5,0,0,1,6,0
"herbekijken",3,4,4,1,0,2,0
"honderd",1,3,1,0,5,3,1
"huren",2,4,0,1,3,3,1
"huurder",2,4,2,1,2,3,0
"impulsen",2,6,1,0,0,5,0
"indicatoren",2,11,0,0,0,1,0
"industrieel",8,4,1,0,0,1,0
"inhaalbeweging",2,7,2,0,0,3,0
"interculturele",0,9,0,1,1,3,0
"intergemeentelijke",5,1,1,0,0,7,0
"inzetbaar",0,5,3,0,1,3,2
"inzicht",2,2,1,0,2,6,1
"jarenlang",2,1,0,1,6,3,1
"knelpuntberoepen",1,8,3,0,0,2,0
"kortingen",0,6,2,0,1,5,0
"kwart",0,2,1,0,5,4,2
"landschappen",0,13,0,0,0,0,1
"langetermijnvisie",5,3,3,0,1,2,0
"lat",4,3,4,0,0,3,0
"leerplichtonderwijs",4,3,0,0,4,3,0
"lessen",1,4,2,0,6,1,0
"leveranciers",4,1,1,0,2,6,0
"loonlasten",1,1,2,4,1,1,4
"loopbaanjaren",1,10,0,0,3,0,0
"luchthaven",4,5,5,0,0,0,0
"maakindustrie",2,7,0,5,0,0,0
"mediawijsheid",3,5,0,0,0,5,1
"migratieachtergrond",1,10,3,0,0,0,0
"miljonairstaks",0,0,0,0,14,0,0
"modellen",1,11,0,0,0,1,1
"morele",4,6,0,0,0,3,1
"multidisciplinair",3,6,1,0,1,3,0
"multinationale",2,3,0,0,3,6,0
"muziek",3,10,0,0,0,1,0
"naleven",1,8,1,3,0,1,0
"nam",3,3,2,0,3,2,1
"nauwe",5,4,1,1,1,2,0
"nul",3,10,0,0,0,1,0
"omtrent",3,8,0,1,0,1,1
"omvormen",6,4,0,1,1,1,1
"ondergaan",3,3,1,0,3,4,0
"onderwijsinstellingen",7,5,0,0,0,2,0
"onroerende",2,6,2,0,2,2,0
"ontspannen",4,5,2,0,1,2,0
"ontwikkelingsbeleid",4,4,3,1,0,2,0
"overheidsopdrachten",1,9,0,1,1,2,0
"overigens",3,5,1,0,0,2,3
"pad",2,6,1,1,0,3,1
"parkings",3,8,0,0,0,3,0
"patrimonium",4,5,3,1,0,0,1
"peil",3,7,0,1,0,3,0
"proberen",0,2,0,0,4,8,0
"professionalisering",3,5,1,1,2,2,0
"regenwater",1,9,1,0,0,3,0
"registratierechten",3,3,1,3,1,3,0
"respecteert",2,6,0,0,3,3,0
"rijkdommen",4,2,0,0,3,5,0
"risicovolle",0,4,0,0,0,10,0
"samenhangend",5,4,1,0,0,4,0
"schaarse",3,6,3,0,1,1,0
"schakel",1,2,1,3,1,5,1
"schenken",5,3,1,0,0,5,0
"senaat",6,2,3,1,1,1,0
"slaagt",0,4,2,2,1,5,0
"slotte",5,2,0,0,3,3,1
"spaarder",0,3,0,0,0,11,0
"sparen",1,4,2,0,3,4,0
"sportbeoefening",2,12,0,0,0,0,0
"stadskernen",4,6,0,1,3,0,0
"standaard",1,11,0,1,1,0,0
"stevige",1,5,2,0,0,4,2
"straffeloosheid",2,4,3,0,1,2,2
"terrorisme",2,6,1,2,3,0,0
"terugbetaald",0,6,2,0,1,5,0
"topsporters",0,7,0,1,0,6,0
"trajectbegeleider",0,12,0,0,0,2,0
"treinen",3,4,0,0,3,4,0
"trend",2,7,0,0,1,4,0
"uitstraling",5,1,3,2,1,1,1
"uitstroom",3,7,1,0,0,3,0
"vastgesteld",1,4,0,1,2,6,0
"velen",0,4,2,0,2,6,0
"vennootschap",0,10,1,1,0,2,0
"veralgemenen",5,2,1,0,3,3,0
"verankerde",3,8,0,0,0,3,0
"verbruik",4,7,0,3,0,0,0
"verdubbeld",1,3,0,1,5,3,1
"verdwijnt",0,8,2,0,1,3,0
"verenigd",2,8,2,0,2,0,0
"verkrijgen",2,7,1,0,2,2,0
"verloop",1,9,1,0,1,2,0
"verminderde",1,10,2,0,1,0,0
"versnipperd",0,7,4,0,0,2,1
"vertegenwoordiging",1,7,2,0,1,2,1
"vervangt",0,8,3,1,1,1,0
"vervoersmodi",4,9,0,0,0,1,0
"visserij",3,7,4,0,0,0,0
"volk",0,1,1,0,10,1,1
"vreemdeling",0,3,7,0,0,3,1
"vsb",14,0,0,0,0,0,0
"waterkwaliteit",5,6,0,0,0,2,1
"weigeren",0,7,2,0,1,4,0
"welvarende",4,3,0,1,2,4,0
"werkelijke",1,8,1,0,2,1,1
"werkervaring",5,0,3,0,1,5,0
"werkloos",1,5,1,2,2,3,0
"werkomgeving",2,7,0,2,1,2,0
"wijzigingen",3,5,1,0,0,4,1
"woningmarkt",4,0,2,1,0,7,0
"zak",0,5,1,0,3,5,0
"ziekten",5,5,1,0,0,3,0
"zorgbehoeften",7,0,1,0,0,6,0
"zorgvrager",11,2,0,0,0,0,1
"zuiver",3,6,3,0,1,1,0
"zwaarste",2,6,0,0,3,3,0
"<c3><a9>n",13,0,0,0,0,0,0
"aanstelling",2,7,2,0,0,2,0
"aanvraag",0,5,1,1,2,4,0
"aarde",2,3,1,1,3,3,0
"actor",4,6,2,1,0,0,0
"acute",9,2,0,0,0,2,0
"adviesraden",0,9,1,1,0,2,0
"afbraak",6,0,0,0,3,4,0
"ambt",1,4,2,0,6,0,0
"and",6,4,1,0,1,0,1
"behoudt",1,6,1,1,1,3,0
"beleggingen",0,11,0,0,0,2,0
"belofte",0,5,0,0,1,7,0
"benut",1,9,0,1,0,2,0
"beoordelen",1,6,0,1,1,4,0
"bepalingen",5,5,0,1,0,2,0
"besluiten",3,4,1,0,3,2,0
"bestemmingen",5,6,0,0,0,2,0
"bestraft",5,3,2,0,0,3,0
"bevolkingsgroepen",5,2,2,0,1,3,0
"bewaakt",3,6,2,0,0,2,0
"bewijs",1,5,1,0,2,3,1
"binnenlands",4,5,2,1,0,1,0
"binnenlandse",3,4,3,0,1,2,0
"blauwe",0,3,0,5,2,3,0
"blinde",3,6,0,0,2,2,0
"brandweer",0,0,10,1,0,2,0
"carriere",0,3,2,1,1,6,0
"coöperatie",0,2,1,1,0,9,0
"comfort",2,3,1,0,1,5,1
"confederalisme",5,0,6,0,0,1,1
"conflictpreventie",2,11,0,0,0,0,0
"cursisten",2,9,1,0,1,0,0
"daalde",0,3,3,0,6,1,0
